"CreditMemo No","Invoice Number","Return Date","Seller Sku","Product Name"
"R-AZ-00104-2019-EU","AZ-07663-2018-EU","2019-01-16 18:31:51","RR-V8VC-16PR-R2","Cooler Master V8 Ver.2 Ventola per CPU '8 Heatpipes, 1x Ventola da 140mm PWM , Connettore da 4-Pin' RR-V8VC-16PR-R2"
"R-AZ-00105-2019-EU","AZ-06521-2018-EU","2019-01-17 03:10:56","N5-W34Y-7EJL","Cooler Master MasterPulse Over-Ear Headset - White"
"R-AZ-00106-2019-EU","AZ-07226-2018-EU","2019-01-17 07:10:50","RR-V8VC-16PR-R2","Cooler Master V8 Ver.2 Ventilateurs de processeur '8 Heatpipes, 1x ventilateur 140mm PWM, 4-Pin Connector' RR-V8VC-16PR-R2"
"R-AZ-00107-2019-EU","AZ-08108-2018-EU","2019-01-17 08:56:47","NJ-HPAB-I799","Samsung - Memoria RAM da 4GB (1 x 4GB) DDR3 1600MHz (PC3 12800S) SO Dimm per PC portatile"
"R-AZ-00108-2019-EU","AZ-00289-2019-EU","2019-01-17 09:07:25","6G-5UKX-IA09","Toshiba MK3276GSX 320GB interne Festplatte (6,3 cm (2,5 Zoll), 5400rpm, 8MB Cache, SATA)"
"R-AZ-00109-2019-EU","AZ-00593-2019-EU","2019-01-17 12:18:48","HMT351S6EFR8C-PB","Hynix original 4 GB 204 pin DDR3-1600 SO-DIMM(1600 mhz, PC3-12800S) HMT351S6EFR8C - PB N0 AA"
"R-AZ-00110-2019-EU","AZ-07757-2018-EU","2019-01-17 12:43:27","HD103UJ","Samsung Spinpoint F1 HD103UJ 1TB 8,9 cm (3,5 Zoll) SATA II Festplatte (7200RPM, 32MB Cache)"
"R-AZ-00111-2019-EU","AZ-07559-2018-EU","2019-01-17 14:15:18","WD5000AAKX","WD WD5000AAKX Blu Hard Disk Desktop da 500 GB, 7200 RPM, SATA 6 GB/s, 16 MB Cache, 3.5 &quot;"
"R-AZ-00112-2019-EU","AZ-08395-2018-EU","2019-01-17 15:54:52","ST500DM002","Seagate ST500DM002 Barracuda Disque dur interne 3,5&quot; SATA III 7200 tours / min 500 Go"
"R-AZ-00113-2019-EU","AZ-00398-2019-EU","2019-01-17 16:47:00","FE-KVUJ-3W0L","Zyxel - Router Switch 24 Ports Manageable"
"R-AZ-00114-2019-EU","AZ-08399-2018-EU","2019-01-17 16:56:12","KVR13N9S6-2","Kingston KVR13N9S6/2 Memoria RAM da 2 GB, 1333 MHz, DDR3, Non-ECC CL9 DIMM, 240-pin, 1.5 V"
"R-AZ-00115-2019-EU","AZ-00380-2019-EU","2019-01-17 18:51:19","4V-SC80-T3LC","Philips-Licht TORNADO ES 8YRT Energiesparlampe 8W E27 230V warmton-ws T2"
"R-AZ-00116-2019-EU","AZ-08114-2018-EU","2019-01-17 21:18:41","8I-2ADI-X42Q","Elpida - Modulo RAM da 4 Gb, a doppio canale (2 x 2 GB), 204 pin, DDR3- SO-DIMM (1066/1067 Mhz, PC3-8500S, CL7), per Apple e Notebook, Apple ID 0x02FE"
"R-AZ-00117-2019-EU","AZ-00009-2019-EU","2019-01-17 21:27:00","KVR667D2S5-2G","Kingston 2Gb 667Mhz Ddr2 Cl5 Sodimm"
"R-AZ-00118-2019-EU","AZ-00078-2019-EU","2019-01-17 22:07:16","ST3500312CS","Seagate Pipeline HD ST3500312CS Interne Festplatte 500GB (8,9 cm (3,5 Zoll), 5900 rpm, SATA 3GB/s, 8MB Cache) bulk"
"R-AZ-00119-2019-EU","AZ-08535-2018-EU","2019-01-18 04:40:58","NJ-HPAB-I799","Samsung - Memoria RAM da 4GB (1 x 4GB) DDR3 1600MHz (PC3 12800S) SO Dimm per PC portatile"
"R-AZ-00120-2019-EU","AZ-00238-2019-EU","2019-01-18 11:12:15","ADATA_DDR3_1600","ADATA DDR3, 1600MHz 204-Pin, SO-DIMM, 4GB 4GB DDR3 1600MHz memoria"
"R-AZ-00121-2019-EU","AZ-08004-2018-EU","2019-01-18 15:42:06","6G-5UKX-IA09","Toshiba MK3276GSX HardDisk"
"R-AZ-00122-2019-EU","AZ-07648-2018-EU","2019-01-18 20:58:43","MT-2WAI-SN0C","Matrox M9120 Pciex 16 512Mb Ddr2"
"R-AZ-00123-2019-EU","AZ-00613-2019-EU","2019-01-18 21:31:42","5M-RAT5-REPF","Philips PL-C - Lampadina a luce bianca calda extra (827) 13 Watt 827, 2P G24d-1"
